time,thing,value
1467729628422,Thing1,unlabeled6
1467729632422,Thing1,unlabeled6
1467729634422,Thing1,unlabeled6
1467729626422,Thing1,unlabeled6
1467729630422,Thing1,unlabeled6
1467729644422,Thing1,unlabeled5
1467729636422,Thing1,unlabeled5
1467729640422,Thing1,unlabeled5
1467729638422,Thing1,unlabeled5
1467729642422,Thing1,unlabeled5
1467729646422,Thing1,unlabeled4
1467729650422,Thing1,unlabeled4
1467729640422,Thing2,unlabeled7
1467729644422,Thing2,unlabeled7
1467729648422,Thing2,unlabeled7
1467729650422,Thing2,unlabeled7
1467729668422,Thing2,unlabeled2
1467729672422,Thing2,unlabeled2
1467729672422,Thing1,unlabeled3
1467729626422,Thing2,unlabeled7
1467729642422,Thing2,unlabeled7
1467729646422,Thing2,unlabeled7
1467729664422,Thing2,unlabeled2
1467729670422,Thing2,unlabeled2
1467729674422,Thing2,unlabeled2
1467729652422,Thing2,unlabeled2
1467729656422,Thing2,unlabeled2
1467729660422,Thing2,unlabeled2
1467729666422,Thing2,unlabeled2
1467729664422,Thing1,unlabeled3
1467729668422,Thing1,unlabeled3
1467729654422,Thing2,unlabeled2
1467729658422,Thing2,unlabeled2
1467729662422,Thing2,unlabeled2
1467729660422,Thing1,unlabeled3
1467729670422,Thing1,unlabeled3
1467729674422,Thing1,unlabeled3
1467729648422,Thing1,unlabeled3
1467729652422,Thing1,unlabeled3
1467729656422,Thing1,unlabeled3
1467729666422,Thing1,unlabeled3
1467729654422,Thing1,unlabeled3
1467729658422,Thing1,unlabeled3
1467729662422,Thing1,unlabeled3
1467729628422,Thing2,unlabeled1
1467729632422,Thing2,unlabeled1
1467729636422,Thing2,unlabeled1
1467729630422,Thing2,unlabeled1
1467729634422,Thing2,unlabeled1
1467729638422,Thing2,unlabeled1
